Name,Year,Duration,ratings,Num_of_Ratings,Genres
Indiana Jones and the Last Crusade,1989,2h 7m,8.2,810000,"Action,Adventure"
Prisoners,2013,2h 33m,8.2,808000,"Crime,Drama,Mystery"
Pan's Labyrinth,2006,1h 58m,8.2,702000,"Drama,Fantasy,War"
Top Gun: Maverick,2022,2h 10m,8.2,694000,"Action,Drama"
1917,2019,1h 59m,8.2,674000,"Action,Drama,History"
There Will Be Blood,2007,2h 38m,8.2,640000,Drama
L.A. Confidential,1997,2h 18m,8.2,617000,"Crime,Drama,Mystery"
Monty Python and the Holy Grail,1975,1h 31m,8.2,570000,"Adventure,Comedy,Fantasy"
Green Book,2018,2h 10m,8.2,569000,"Biography,Comedy,Drama"
Casino,1995,2h 58m,8.2,563000,"Crime,Drama"
The Thing,1982,1h 49m,8.2,466000,"Horror,Mystery,Sci-Fi"
Howl's Moving Castle,2004,1h 59m,8.2,448000,"Animation,Adventure,Family"
Unforgiven,1992,2h 10m,8.2,436000,"Drama,Western"
Downfall,2004,2h 36m,8.2,375000,"Biography,Drama,History"
Gone with the Wind,1939,3h 58m,8.2,334000,"Drama,Romance,War"
Some Like It Hot,1959,2h 1m,8.2,283000,"Comedy,Music,Romance"
For a Few Dollars More,1965,2h 12m,8.2,274000,"Drama,Western"
The Great Escape,1963,2h 52m,8.2,259000,"Adventure,Drama,Thriller"
The Elephant Man,1980,2h 4m,8.2,258000,"Biography,Drama"
The Secret in Their Eyes,2009,2h 9m,8.2,222000,"Drama,Mystery,Romance"
The Father,2020,1h 37m,8.2,192000,"Drama,Mystery"
Klaus,2019,1h 36m,8.2,189000,"Animation,Adventure,Comedy"
Dial M for Murder,1954,1h 45m,8.2,189000,"Crime,Thriller"
Rashomon,1950,1h 28m,8.2,180000,"Crime,Drama,Mystery"
All About Eve,1950,2h 18m,8.2,139000,Drama
Ran,1985,2h 40m,8.2,136000,"Action,Drama,War"
The Kid,1921,1h 8m,8.2,135000,"Comedy,Drama,Family"
The Treasure of the Sierra Madre,1948,2h 6m,8.2,132000,"Adventure,Drama,Western"
Yojimbo,1961,1h 50m,8.2,131000,"Action,Drama,Thriller"
My Father and My Son,2005,1h 52m,8.2,93000,"Drama,Family"
Children of Heaven,1997,1h 29m,8.2,81000,"Drama,Family,Sport"
The Wages of Fear,1953,2h 11m,8.2,66000,"Adventure,Drama,Thriller"
Sherlock Jr.,1924,45m,8.2,57000,"Action,Comedy,Romance"
